"citric acid","chlorides","pH","alcohol","quality"
0.02,0.08,3.35,10.6,6
0.03,0.054,3.45,11.5,6
0.04,0.068,3.53,10.8,6
0.03,0.054,3.45,11.5,6
0.39,0.077,3.51,11,6
0.57,0.106,3.36,11.4,6
0.05,0.07,3.51,10.8,6
0.57,0.106,3.36,11.4,6
0.6,0.074,3.38,10.6,6
0.21,0.047,3.47,9.7,6
0.04,0.061,3.53,10.4,6
0.15,0.078,3.33,10.5,6
0.21,0.074,3.53,9.23333333333333,6
0.21,0.074,3.53,9.25,6
0.06,0.063,3.38,10.3,6
0.06,0.063,3.38,10.3,6
0.19,0.075,3.39,10,6
0.08,0.064,3.3,9.6,6
0.07,0.071,3.29,10.8,6
0.49,0.096,3.31,10.1,6
0.08,0.063,3.42,10.2,6
0.09,0.063,3.42,11.3,6
0.13,0.058,3.21,9.9,6
0.14,0.064,3.42,11.7,7
0.13,0.075,3.36,9.7,6
0.08,0.077,3.6,10.3,6
0.08,0.059,3.5,10.2,6
0.08,0.071,3.56,11.6,6
0.29,0.054,3.4,10.9,7
0.02,0.064,3.3,10.75,6
0.42,0.064,3.25,10.4,6
0.43,0.063,3.17,11.2,7
0.33,0.059,3.36,10.1,6
0.3,0.074,3.24,11.4,8
0.01,0.103,3.51,11.3,6
0.02,0.062,3.54,11,6
0.17,0.065,3.44,10.55,7
0.02,0.062,3.54,11,6
0.02,0.061,3.39,10.9,6
0.64,0.059,3.34,11.2,6
0.14,0.056,3.48,11.5,6
0.53,0.23,3.37,12.4,6
0.14,0.038,3.44,11.1,6
0.2,0.075,3.58,12.5,6
0.78,0.074,3.39,10.5,6
0.4,0.06,3.26,11.8,6
0.63,0.081,3.3,10.8,6
0.15,0.076,3.54,11.9,6
0.15,0.118,3.42,11.3,6
0.33,0.068,3.36,11.9,6
0.44,0.061,3.29,11.6,7
0.44,0.066,3.3,11.5,6
0.41,0.065,3.34,11.4,6
0.11,0.066,3.55,10.9,6
0.33,0.068,3.27,12.8,6
0.15,0.077,3.32,11.6,6
0.09,0.089,3.67,11.6,6
0.13,0.076,3.42,11,6
0.08,0.068,3.42,9.5,6
0.1,0.062,3.52,11.2,6
0.13,0.076,3.42,11,6
0.47,0.067,3.39,11,6
